Timestamp,X_AXIS_CHEAT,Y_AXIS_CHEAT,audio,Emotion,y_actual
0,0,1,0,Emotion,
40,0,1,0,happy,
80,0,1,0,sad,
120,0,1,0,neutral,
160,0,1,0,happy,
200,0,1,1,happy,
240,0,1,1,happy,
280,0,1,0,angry,
320,0,1,0,angry,
360,0,1,0,angry,
400,0,0,0,happy,
440,0,0,0,angry,
480,0,0,1,happy,
520,0,0,0,surprise,
560,0,1,0,surprise,
600,0,1,0,surprise,
640,0,0,0,neutral,
680,0,0,1,angry,
720,0,0,0,happy,
760,0,1,0,neutral,
800,0,0,1,neutral,
840,0,1,0,happy,
880,0,0,1,happy,
920,0,0,0,happy,
960,0,0,0,happy,
1000,0,0,0,angry,
1040,0,0,0,happy,
1080,0,0,0,happy,
1120,0,1,1,happy,
1160,0,1,0,happy,
1200,0,1,0,sad,
1240,0,1,0,angry,
1280,0,1,0,happy,
1320,0,1,0,happy,
1360,0,1,0,angry,
1400,0,1,0,neutral,
1440,0,1,0,neutral,
1480,0,1,0,neutral,
1520,0,1,1,neutral,
1560,0,1,1,neutral,
1600,0,1,0,happy,
1640,0,1,0,happy,
1680,0,1,0,happy,
1720,0,1,0,happy,
1760,0,1,1,happy,
1800,0,1,0,happy,
1840,0,1,0,happy,
1880,0,1,0,happy,
1920,0,1,0,happy,
1960,0,1,1,happy,
2000,0,1,0,happy,
2040,0,1,0,happy,
2080,0,1,0,happy,
2120,0,1,0,happy,
2160,0,1,0,happy,
2200,0,1,0,happy,
2240,0,1,0,happy,
2280,0,1,0,happy,
2320,0,1,0,happy,
2360,0,1,0,happy,
2400,0,1,0,happy,
2440,0,1,0,happy,
2480,0,1,0,happy,
2520,0,1,0,happy,
2560,0,1,0,happy,
2600,0,1,0,happy,
2640,0,1,0,happy,
2680,0,1,0,happy,
2720,0,1,0,neutral,
2760,0,1,0,neutral,
2800,0,1,0,neutral,
2840,0,1,0,neutral,
2880,0,1,0,neutral,
2920,0,1,0,neutral,
2960,0,1,0,neutral,
3000,0,0,1,neutral,
3040,0,0,1,neutral,
3080,0,0,0,neutral,
3120,0,0,0,neutral,
3160,0,1,0,neutral,
3200,0,1,0,neutral,
3240,0,1,1,neutral,
3280,0,1,0,neutral,
3320,0,1,0,neutral,
3360,0,1,0,neutral,
3400,0,1,0,neutral,
3440,0,1,0,neutral,
3480,0,1,1,happy,
3520,0,1,1,happy,
3560,0,1,0,happy,
3600,0,1,0,happy,
3640,0,1,0,happy,
3680,0,1,0,happy,
3720,0,1,0,happy,
3760,0,1,0,happy,
3800,0,1,0,happy,
3840,0,1,0,happy,
3880,0,1,0,happy,
3920,0,1,0,happy,
3960,0,1,0,happy,
4000,0,1,0,neutral,
4040,0,1,0,happy,
4080,0,1,0,neutral,
4120,0,1,0,neutral,
4160,0,1,0,happy,
4200,0,1,0,angry,
4240,0,1,0,fear,
4280,0,1,0,neutral,
4320,0,1,0,neutral,
4360,0,1,1,neutral,
4400,0,1,0,neutral,
4440,0,1,0,neutral,
4480,0,1,0,neutral,
4520,0,1,0,neutral,
4560,0,1,0,neutral,
4600,0,1,0,neutral,
4640,0,1,0,neutral,
4680,0,1,0,neutral,
4720,0,1,0,neutral,
4760,0,1,0,neutral,
4800,0,0,0,neutral,
4840,0,0,0,neutral,
4880,0,0,0,neutral,
4920,0,0,0,neutral,
4960,0,0,1,neutral,
5000,0,0,0,neutral,
5040,0,0,0,happy,
5080,0,0,0,happy,
5120,0,0,0,sad,
5160,0,0,0,neutral,
5200,0,0,0,neutral,
5240,0,0,0,neutral,
5280,0,0,0,neutral,
5320,0,0,0,neutral,
5360,0,0,0,neutral,
5400,0,0,1,neutral,
5440,0,0,1,neutral,
5480,0,0,0,neutral,
5520,0,0,0,fear,
5560,0,0,0,neutral,
5600,0,0,0,neutral,
5640,0,0,0,angry,
5680,0,0,0,angry,
5720,0,0,0,neutral,
5760,0,0,0,angry,
5800,0,0,0,angry,
5840,0,0,0,neutral,
5880,0,0,0,angry,
5920,0,0,0,angry,
5960,0,0,0,sad,
6000,0,0,0,angry,
6040,0,0,0,angry,
6080,0,0,1,angry,
6120,0,0,0,angry,
6160,0,0,0,angry,
6200,0,0,0,neutral,
6240,0,0,0,neutral,
6280,0,0,0,happy,
6320,0,0,0,neutral,
6360,0,0,0,happy,
6400,0,0,0,neutral,
6440,0,0,0,neutral,
6480,0,0,0,neutral,
6520,0,0,0,neutral,
6560,0,0,0,neutral,
6600,0,0,0,neutral,
6640,0,0,0,happy,
6680,0,0,0,angry,
6720,0,0,0,happy,
6760,0,0,0,angry,
6800,0,0,0,neutral,
6840,0,0,0,neutral,
6880,0,0,0,sad,
6920,0,0,0,angry,
6960,0,0,0,angry,
7000,0,1,0,neutral,
7040,0,1,0,neutral,
7080,0,1,0,neutral,
7120,0,1,0,neutral,
7160,0,1,0,neutral,
7200,0,1,0,neutral,
7240,0,1,0,neutral,
7280,0,1,0,neutral,
7320,0,1,0,neutral,
7360,0,1,1,happy,
7400,0,1,0,sad,
7440,0,1,0,neutral,
7480,0,1,0,neutral,
7520,0,1,0,neutral,
7560,0,1,0,neutral,
7600,0,1,0,neutral,
7640,0,1,0,neutral,
7680,0,1,0,neutral,
