Timestamp,X_AXIS_CHEAT,Y_AXIS_CHEAT,Audio_Cheat,Emotion
341299916.3111,1,0,1,sad
341303649.6444,0,0,0,neutral
341305282.9777,1,0,1,neutral
341306216.3111,1,0,0,happy
341307149.6444,1,0,1,angry
341308182.9777,0,0,1,angry
341309416.3111,0,0,0,sad
341311049.6444,1,0,0,neutral
341312482.9777,0,0,0,neutral
341315616.3111,0,0,0,sad
341317449.6444,0,0,1,happy
341319482.9777,0,0,1,happy
341321916.3111,0,0,1,happy
341323349.6444,0,0,0,happy
341325482.9777,0,0,0,neutral
341328016.3111,0,0,0,happy
341329949.6444,0,0,0,happy
341331882.9777,0,0,0,happy
341333416.3111,0,0,1,happy
341335049.6444,0,0,1,happy
341339182.9777,0,0,1,happy
341340516.3111,0,0,1,happy
341342949.6444,0,0,1,happy
341345382.9777,0,0,1,happy
341348316.3111,0,0,1,happy
341349749.6444,1,0,1,happy
341351382.9777,0,0,1,happy
341352816.3111,0,0,1,happy
341353849.6444,0,0,1,happy
341355382.9777,0,0,1,happy
341357916.3111,0,0,1,happy
341360249.6444,0,0,1,happy
341362882.9777,0,0,0,happy
341364416.3111,0,0,0,neutral
341365749.6444,0,0,0,angry
341366982.9777,0,0,0,angry
341368316.3111,0,0,1,neutral
341370449.6444,0,0,1,neutral
341372282.9777,0,0,1,neutral
341374716.3111,0,0,0,happy
341376749.6444,0,0,0,neutral
341378682.9777,0,0,1,neutral
341380516.3111,0,0,0,surprise
341381649.6444,0,0,1,happy
341382782.9777,0,0,1,happy
341384016.3111,0,0,1,happy
341385049.6444,0,0,0,happy
341386382.9777,0,0,0,happy
341387316.3111,0,0,1,happy
341388349.6444,0,0,0,happy
341390382.9777,0,0,1,neutral
341391816.3111,0,0,0,neutral
341393249.6444,0,0,1,neutral
341395082.9777,0,0,1,neutral
341396416.3111,0,0,0,neutral
341397849.6444,0,0,1,happy
341399082.9777,0,0,0,happy
341400416.3111,0,0,0,happy
341401749.6444,0,0,1,happy
341402782.9777,0,0,1,happy
341405116.3111,0,0,1,happy
341407449.6444,0,0,1,happy
341410982.9777,0,0,1,happy
341412516.3111,1,1,1,neutral
341413749.6444,1,1,1,happy
341415182.9777,1,1,1,happy
341416516.3111,0,0,0,happy
341417849.6444,0,0,1,happy
341419182.9777,0,0,0,happy
341420016.3111,0,0,1,happy
341422149.6444,0,0,1,happy
341424782.9777,0,0,1,happy
341426216.3111,0,0,0,happy
341428149.6444,0,0,1,happy
341429082.9777,0,0,1,happy
341430616.3111,0,0,0,happy
341431449.6444,0,0,1,happy
341432582.9777,0,0,0,happy
341433616.3111,0,0,1,happy
341434549.6444,0,0,0,happy
341435382.9777,0,0,1,happy
341437216.3111,0,0,1,happy
341438649.6444,1,0,0,happy
341442316.3111,0,0,0,happy
341444049.6444,0,0,1,happy
341445182.9777,0,0,0,happy
341446416.3111,0,0,1,happy
341447749.6444,0,0,0,neutral
341448982.9777,0,0,1,neutral
341450616.3111,0,0,0,neutral
