Emotion,Time Step
sad,0.0
happy,0.0
sad,0.04
sad,0.04
sad,0.08
fear,0.08
sad,0.12
sad,0.12
sad,0.16
sad,0.16
neutral,0.2
sad,0.2
angry,0.24
sad,0.24
sad,0.28
sad,0.28
sad,0.32
sad,0.32
sad,0.36
sad,0.36
angry,0.4
sad,0.4
angry,0.44
sad,0.44
sad,0.48
sad,0.48
angry,0.52
sad,0.52
sad,0.56
sad,0.56
sad,0.6
sad,0.6
sad,0.64
sad,0.64
angry,0.68
fear,0.68
angry,0.72
fear,0.72
angry,0.76
surprise,0.76
sad,0.8
surprise,0.8
angry,0.84
fear,0.84
angry,0.88
surprise,0.88
neutral,0.92
fear,0.92
sad,0.96
surprise,0.96
sad,1.0
fear,1.0
sad,1.04
fear,1.04
neutral,1.08
fear,1.08
neutral,1.12
fear,1.12
angry,1.16
surprise,1.16
sad,1.2
fear,1.2
sad,1.24
fear,1.24
sad,1.28
fear,1.28
sad,1.32
fear,1.32
sad,1.36
sad,1.4
sad,1.44
fear,1.44
sad,1.48
surprise,1.48
sad,1.52
surprise,1.52
angry,1.56
surprise,1.56
sad,1.6
sad,1.6
sad,1.64
sad,1.64
sad,1.68
sad,1.68
sad,1.72
sad,1.72
sad,1.76
sad,1.76
sad,1.8
sad,1.8
sad,1.84
sad,1.84
sad,1.88
sad,1.88
sad,1.92
sad,1.92
sad,1.96
sad,1.96
sad,2.0
sad,2.0
sad,2.04
sad,2.04
sad,2.08
fear,2.08
sad,2.12
fear,2.12
sad,2.16
fear,2.16
sad,2.2
fear,2.2
sad,2.24
fear,2.24
sad,2.28
fear,2.28
sad,2.32
fear,2.32
sad,2.36
fear,2.36
sad,2.4
fear,2.4
sad,2.44
fear,2.44
sad,2.48
sad,2.48
sad,2.52
fear,2.52
sad,2.56
fear,2.56
sad,2.6
sad,2.64
fear,2.64
sad,2.68
fear,2.68
sad,2.72
fear,2.72
sad,2.76
fear,2.76
sad,2.8
fear,2.8
sad,2.84
fear,2.84
sad,2.88
fear,2.88
sad,2.92
fear,2.92
sad,2.96
fear,2.96
sad,3.0
fear,3.0
sad,3.04
fear,3.04
sad,3.08
fear,3.12
sad,3.16
sad,3.28
sad,3.32
sad,3.36
sad,3.4
sad,3.8
fear,3.92
fear,4.08
neutral,4.2
neutral,4.24
neutral,4.28
neutral,4.32
neutral,4.36
neutral,4.4
neutral,4.4
neutral,4.56
neutral,4.6
neutral,4.64
neutral,4.64
fear,4.68
fear,4.72
fear,4.76
neutral,4.8
neutral,4.84
neutral,4.88
neutral,4.92
neutral,4.96
sad,4.96
neutral,5.0
neutral,5.04
sad,5.04
neutral,5.08
neutral,5.12
sad,5.12
neutral,5.16
fear,5.2
neutral,5.24
neutral,5.28
neutral,5.32
neutral,5.36
neutral,5.4
neutral,5.44
fear,5.48
fear,5.48
neutral,5.52
neutral,5.56
fear,5.6
happy,5.6
neutral,5.64
neutral,5.64
fear,5.68
neutral,5.72
neutral,5.76
neutral,5.8
neutral,5.84
sad,5.84
neutral,5.88
neutral,5.92
sad,5.92
neutral,5.96
sad,5.96
neutral,6.0
neutral,6.04
neutral,6.08
neutral,6.12
neutral,6.16
neutral,6.2
neutral,6.24
fear,6.28
fear,6.32
fear,6.36
fear,6.4
sad,6.44
fear,6.48
fear,6.52
fear,6.56
fear,6.6
fear,6.64
fear,6.68
fear,6.72
fear,6.76
neutral,6.8
fear,6.84
neutral,6.88
neutral,6.92
neutral,6.96
neutral,7.0
neutral,7.04
neutral,7.08
neutral,7.12
neutral,7.16
neutral,7.2
neutral,7.24
neutral,7.28
neutral,7.32
neutral,7.36
neutral,7.4
neutral,7.44
neutral,7.48
neutral,7.52
neutral,7.56
neutral,7.6
neutral,7.64
neutral,7.68
neutral,7.72
neutral,7.76
neutral,7.8
neutral,7.84
neutral,7.88
neutral,7.92
neutral,7.96
neutral,8.0
neutral,8.04
neutral,8.08
neutral,8.12
neutral,8.16
neutral,8.2
neutral,8.24
neutral,8.28
neutral,8.32
neutral,8.36
neutral,8.4
neutral,8.44
neutral,8.48
neutral,8.52
neutral,8.56
neutral,8.6
neutral,8.72
surprise,8.88
surprise,8.92
surprise,8.96
neutral,9.0
surprise,9.04
neutral,9.08
fear,9.12
fear,9.16
surprise,9.2
surprise,9.24
neutral,9.28
surprise,9.32
fear,9.36
fear,9.4
surprise,9.44
fear,9.48
surprise,9.52
surprise,9.56
surprise,9.6
surprise,9.64
surprise,9.68
surprise,9.72
surprise,9.76
surprise,9.8
surprise,9.84
surprise,9.88
surprise,9.92
sad,9.96
surprise,10.0
surprise,10.04
surprise,10.08
surprise,10.12
surprise,10.16
surprise,10.2
surprise,10.24
fear,10.28
surprise,10.32
fear,10.36
sad,10.4
sad,10.44
fear,10.48
fear,10.52
fear,10.56
fear,10.6
fear,10.64
fear,10.68
sad,10.72
fear,10.76
fear,10.8
sad,10.84
sad,10.88
sad,10.92
fear,10.96
neutral,11.08
neutral,11.36
happy,11.8
sad,11.88
angry,12.04
sad,12.08
sad,12.12
neutral,12.16
neutral,12.2
neutral,12.24
neutral,12.28
neutral,12.32
sad,12.4
sad,12.44
sad,12.48
sad,12.52
sad,12.56
neutral,12.6
sad,12.64
angry,12.68
angry,12.72
angry,12.76
angry,12.8
angry,12.84
angry,12.88
angry,12.92
angry,12.96
angry,13.0
angry,13.04
angry,13.08
happy,13.12
happy,13.16
happy,13.2
